question_id,question,category,complexity,manual_type,language,OpenSource RAG_OVERALL_SCORE,OpenAI CLIP RAG_OVERALL_SCORE,OpenAI Vision RAG_OVERALL_SCORE,Hybrid RAG_OVERALL_SCORE,best_OVERALL_SCORE,worst_OVERALL_SCORE,diff_OVERALL_SCORE,OpenSource RAG_RELEVANCE,OpenAI CLIP RAG_RELEVANCE,OpenAI Vision RAG_RELEVANCE,Hybrid RAG_RELEVANCE,best_RELEVANCE,worst_RELEVANCE,diff_RELEVANCE,OpenSource RAG_CORRECTNESS,OpenAI CLIP RAG_CORRECTNESS,OpenAI Vision RAG_CORRECTNESS,Hybrid RAG_CORRECTNESS,best_CORRECTNESS,worst_CORRECTNESS,diff_CORRECTNESS,OpenSource RAG_COMPLETENESS,OpenAI CLIP RAG_COMPLETENESS,OpenAI Vision RAG_COMPLETENESS,Hybrid RAG_COMPLETENESS,best_COMPLETENESS,worst_COMPLETENESS,diff_COMPLETENESS,OpenSource RAG_CONCISENESS,OpenAI CLIP RAG_CONCISENESS,OpenAI Vision RAG_CONCISENESS,Hybrid RAG_CONCISENESS,best_CONCISENESS,worst_CONCISENESS,diff_CONCISENESS
VM_manual_technical_1_4,Quali informazioni vengono visualizzate nel tab 'Inventario' di VMware NSX per l'implementazione delle regole firewall?,technical,medium,VM_manual,italian,9.3,9.1,9.1,9.2,OpenSource RAG,OpenAI CLIP RAG,0.20000000000000107,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_comparative_0_1,In che modo il sistema di tagging in VMware NSX aiuta nella gestione delle regole firewall rispetto all'uso degli indirizzi delle singole VM?,comparative,medium,VM_manual,italian,9.67,9.67,9.3,9.67,OpenSource RAG,OpenAI Vision RAG,0.3699999999999992,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,10.0,10.0,9.0,10.0,OpenSource RAG,OpenAI Vision RAG,1.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_technical_1_2,Qual è la dimensione predefinita del disco di avvio creato per una nuova macchina virtuale e come può essere ridimensionato?,technical,medium,VM_manual,italian,9.83,9.3,9.3,9.8,OpenSource RAG,OpenAI CLIP RAG,0.5299999999999994,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,10.0,9.0,9.0,10.0,OpenSource RAG,OpenAI CLIP RAG,1.0,10.0,9.0,9.0,10.0,OpenSource RAG,OpenAI CLIP RAG,1.0,9.0,8.0,8.0,9.0,OpenSource RAG,OpenAI CLIP RAG,1.0
VM_manual_security_0_2,Quali sono i passaggi per accedere al cloud firewall per configurare le regole di sicurezza?,security,simple,VM_manual,italian,7.5,8.8,6.5,6.5,OpenAI CLIP RAG,OpenAI Vision RAG,2.3000000000000007,8.0,9.0,6.0,6.0,OpenAI CLIP RAG,OpenAI Vision RAG,3.0,6.0,8.0,5.0,5.0,OpenAI CLIP RAG,OpenAI Vision RAG,3.0,7.0,9.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,2.0,7.0,8.0,5.0,4.0,OpenAI CLIP RAG,Hybrid RAG,4.0
VM_manual_troubleshooting_2_3,Come posso garantire la corretta configurazione della connettività di rete per la mia VM?,troubleshooting,complex,VM_manual,italian,6.2,7.0,6.5,6.5,OpenAI CLIP RAG,OpenSource RAG,0.7999999999999998,6.0,7.0,7.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0,5.0,6.0,6.0,5.0,OpenAI CLIP RAG,OpenSource RAG,1.0,5.0,7.0,5.0,7.0,OpenAI CLIP RAG,OpenSource RAG,2.0,6.0,5.0,5.0,5.0,OpenSource RAG,OpenAI CLIP RAG,1.0
VM_manual_conceptual_2_1,Come puoi verificare la capacità disponibile per una nuova VM durante la creazione?,conceptual,medium,VM_manual,italian,8.3,9.0,8.5,8.5,OpenAI CLIP RAG,OpenSource RAG,0.6999999999999993,8.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,7.0,9.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,2.0,8.0,9.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_troubleshooting_1_1,Cosa devo fare se non riesco a trovare le risorse computazionali richieste per una nuova VM?,troubleshooting,medium,VM_manual,italian,7.5,6.8,6.8,7.5,OpenSource RAG,OpenAI CLIP RAG,0.7000000000000002,8.0,7.0,7.0,8.0,OpenSource RAG,OpenAI CLIP RAG,1.0,6.0,5.0,5.0,6.0,OpenSource RAG,OpenAI CLIP RAG,1.0,7.0,6.0,6.0,7.0,OpenSource RAG,OpenAI CLIP RAG,1.0,7.0,7.0,7.0,7.0,OpenSource RAG,OpenSource RAG,0.0
VM_manual_configuration_1_4,Come posso accedere al firewall cloud per configurare le regole per una macchina virtuale?,configuration,simple,VM_manual,italian,8.7,8.7,8.7,8.5,OpenSource RAG,Hybrid RAG,0.1999999999999993,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,7.0,7.0,7.0,6.0,OpenSource RAG,Hybrid RAG,1.0
VM_manual_conceptual_2_4,Come puoi espandere il disco di sistema di una VM dopo la sua creazione?,conceptual,medium,VM_manual,italian,9.67,9.8,9.67,9.67,OpenAI CLIP RAG,OpenSource RAG,0.13000000000000078,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,10.0,10.0,10.0,10.0,OpenSource RAG,OpenSource RAG,0.0,8.0,9.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0
VM_manual_procedural_2_3,Cosa devo fare se ho bisogno di cambiare il nome della mia VM dopo la creazione?,procedural,simple,VM_manual,italian,5.8,6.3,5.8,7.5,Hybrid RAG,OpenSource RAG,1.7000000000000002,6.0,6.0,6.0,8.0,Hybrid RAG,OpenSource RAG,2.0,5.0,4.0,4.0,6.0,Hybrid RAG,OpenAI CLIP RAG,2.0,4.0,5.0,5.0,7.0,Hybrid RAG,OpenSource RAG,3.0,5.0,6.0,6.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0
